id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee,features/floorCount,lastSaleDate,lastSalePrice,history/2025-06-30/event,history/2025-06-30/date
"9779-Mccombs-St,-Unit-E1,-El-Paso,-TX-79924","9779 Mccombs St, Unit E1, El Paso, TX 79924",9779 Mccombs St,Unit E1,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,2,2,1220,,2023,,,,,,
"9779-Mccombs-St,-Unit-D1,-El-Paso,-TX-79924","9779 Mccombs St, Unit D1, El Paso, TX 79924",9779 Mccombs St,Unit D1,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"3911-Tyler-Ave-Unit-A,-El-Paso,-TX-79930","3911 Tyler Ave Unit A, El Paso, TX 79930",3911 Tyler Ave Unit A,,El Paso,TX,48,79930,El Paso,141,31.81502,-106.445473,Townhouse,2,1,920,,2024,,,,,,
"6521-Ta-Suil-Pl,-Unit-A,-El-Paso,-TX-79932","6521 Ta Suil Pl, Unit A, El Paso, TX 79932",6521 Ta Suil Pl,Unit A,El Paso,TX,48,79932,El Paso,141,31.889271,-106.628517,Townhouse,3,3,1645,,2024,,,,,,
"1657-Asbury-St,-El-Paso,-TX-79928","1657 Asbury St, El Paso, TX 79928",1657 Asbury St,,El Paso,TX,48,79928,El Paso,141,31.753385,-106.25597,Townhouse,4,2,1645,4936,2024,,,,,,
"6521-Ta-Suil-Pl,-Unit-C,-El-Paso,-TX-79932","6521 Ta Suil Pl, Unit C, El Paso, TX 79932",6521 Ta Suil Pl,Unit C,El Paso,TX,48,79932,El Paso,141,31.889271,-106.628517,Townhouse,3,3,1645,,2024,,,,,,
"9779-Mccombs-St,-Unit-B4,-El-Paso,-TX-79924","9779 Mccombs St, Unit B4, El Paso, TX 79924",9779 Mccombs St,Unit B4,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2023,,,,,,
"8820-Norton-St,-Unit-B,-El-Paso,-TX-79904","8820 Norton St, Unit B, El Paso, TX 79904",8820 Norton St,Unit B,El Paso,TX,48,79904,El Paso,141,31.863518,-106.435417,Townhouse,2,1,930,,2023,,,,,,
"9779-Mccombs-St,-Unit-E2,-El-Paso,-TX-79924","9779 Mccombs St, Unit E2, El Paso, TX 79924",9779 Mccombs St,Unit E2,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,2,2,1220,,2024,,,,,,
"9779-Mccombs-St,-Unit-E7,-El-Paso,-TX-79924","9779 Mccombs St, Unit E7, El Paso, TX 79924",9779 Mccombs St,Unit E7,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,2,2,1220,,2024,,,,,,
