id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee
"15261-Composition-Ave,-El-Paso,-TX-79938","15261 Composition Ave, El Paso, TX 79938",15261 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804809,-106.190673,Single Family,3,2,1593,5335,2025,
"15256-Concentrate-Ave,-El-Paso,-TX-79938","15256 Concentrate Ave, El Paso, TX 79938",15256 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805556,-106.190892,Single Family,3,2,1448,5335,2025,
"15277-Composition-Ave,-El-Paso,-TX-79938","15277 Composition Ave, El Paso, TX 79938",15277 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804799,-106.190482,Single Family,4,2.5,1873,5335,2025,
"15260-Concentrate-Ave,-El-Paso,-TX-79938","15260 Concentrate Ave, El Paso, TX 79938",15260 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805556,-106.190881,Single Family,3,2,1723,5335,2025,
"3761-Chart-Pl,-El-Paso,-TX-79938","3761 Chart Pl, El Paso, TX 79938",3761 Chart Pl,,El Paso,TX,48,79938,El Paso,141,31.800395,-106.193639,Single Family,4,2.5,1850,7943,2025,
"3764-Wish-Pl,-El-Paso,-TX-79938","3764 Wish Pl, El Paso, TX 79938",3764 Wish Pl,,El Paso,TX,48,79938,El Paso,141,31.798868,-106.186718,Single Family,4,2.5,1938,12197,2025,
"3760-Wish-Pl,-El-Paso,-TX-79938","3760 Wish Pl, El Paso, TX 79938",3760 Wish Pl,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,4,2,1804,7979,2025,
"3761-Cast-Pl,-El-Paso,-TX-79938","3761 Cast Pl, El Paso, TX 79938",3761 Cast Pl,,El Paso,TX,48,79938,El Paso,141,31.798081,-106.193709,Single Family,4,2.5,1850,7963,2025,
"3769-Surmise-St,-El-Paso,-TX-79938","3769 Surmise St, El Paso, TX 79938",3769 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.804718,-106.199125,Single Family,4,2,1635,5227,2025,
"3773-Surmise-St,-El-Paso,-TX-79938","3773 Surmise St, El Paso, TX 79938",3773 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.8047,-106.199168,Single Family,4,2,1841,5927,2025,
